critic_id	trial_id	domain	group	selection_stratum	run_success	snapshot_fraction	cutoff_s	verdict	confidence	imbalance_types	advisory_send	advisory_priority	advisory_message	acting_agents	unknown_load_agents	score_change	elapsed_s
trial_104_online_t000082645	trial_104	construction	2a_d0	successful_quiet_complementarity	True	0.25	82.645	imbalance_detected	0.82	duplicated_scope,role_action_mismatch	True	rebalance	Split by material immediately: have Andy place only granite/andesite/diorite/stone/stone bricks, and Bob place only gold, quartz, quartz pillars, and glowstone. Confirm distinct coordinates or layers before either continues.	andy,bob		0.0	28.631
trial_104_online_t000165290	trial_104	construction	2a_d0	successful_quiet_complementarity	True	0.5	165.29	no_imbalance_observed	0.82		False	none		andy,bob		82.14285714285714	26.306
trial_104_online_t000247935	trial_104	construction	2a_d0	successful_quiet_complementarity	True	0.75	247.935	imbalance_detected	0.86	blocked_dependency	True	unblock	Bob, retry the sole quartz placement at (-343,66,249) using your remaining block. Andy, stop broad harvesting and inspect/clear that cell or provide safe access; then have Bob place it and run checkBlueprint.			99.40476190476191	58.391
trial_106_online_t000073693	trial_106	construction	2a_d0	successful_balanced_parallel_anchor	True	0.25	73.693	imbalance_detected	0.88	blocked_dependency,role_action_mismatch	True	rebalance	Assign Bob to place the blueprint's gold_block, quartz_block, quartz_pillar, and glowstone coordinates now, while Andy continues the masonry list. Have them confirm coordinate coverage first to avoid overlap.	andy		0.0	25.153
trial_106_online_t000147386	trial_106	construction	2a_d0	successful_balanced_parallel_anchor	True	0.5	147.386	no_imbalance_observed	0.84		False	none		andy,bob		79.16666666666666	27.475
trial_106_online_t000221079	trial_106	construction	2a_d0	successful_balanced_parallel_anchor	True	0.75	221.079	imbalance_detected	0.9	duplicated_scope	True	rebalance	Pause Bob's stale broad fix pass and refresh from Andy's 218.622s blueprint check. Split the verified remainder by inventory: Bob handles quartz_block/quartz_pillar; Andy handles stone_bricks or another explicitly assigned non-overlapping fix.	bob	bob	88.09523809523809	48.115
trial_107_online_t000181095	trial_107	construction	2a_d0	near_complete_plateau_failure	False	0.25	181.095	imbalance_detected	0.82	duplicated_scope	True	rebalance	Partition the remaining build now: keep Andy on common-material fixes at Y64-Y66, and redirect Bob to Y67-Y68 plus any still-missing gold/quartz/pillar/glowstone blocks. Have Bob avoid Andy's coordinates until Andy checks completion.	andy,bob		44.047619047619044	43.267
trial_107_online_t000362191	trial_107	construction	2a_d0	near_complete_plateau_failure	False	0.5	362.191	imbalance_detected	0.84	duplicated_scope,role_action_mismatch	True	rebalance	Have Bob stop the broad gather/build loop, move clear of (-343,64,254), run checkBlueprint, and own only gold/quartz/quartz_pillar/glowstone fixes. Let Andy finish the andesite target; transfer it to Bob only after an explicit failed handoff.	andy,bob		80.35714285714286	55.514
trial_107_online_t000543286	trial_107	construction	2a_d0	near_complete_plateau_failure	False	0.75	543.286	imbalance_detected	0.96	duplicated_scope	True	rebalance	Have Andy stop attempting (-343,66,253) and move clear. Assign Bob sole ownership because he has the quartz_block; Bob should place it and run checkBlueprint. Andy should stand by for another fix only if verification finds one.	andy,bob	andy	99.40476190476191	36.253
trial_126_online_t000179991	trial_126	construction	2a_d11	low_progress_resource_plateau	False	0.25	179.991	imbalance_detected	0.9	workload_concentration,blocked_dependency,failed_handoff,role_action_mismatch	True	unblock	Assign Andy to place Level 0 polished granite/andesite/diorite, stone, and stone bricks from his existing inventory. Ask Bob to stop or report on the overrun gathering action, return to gold/quartz work, and then rerun the Level 0 check.	bob		5.952380952380952	35.961
