policy	trial_id	cutoff_s	trigger_reason	candidate_types	verdict	confidence	imbalance_types	send	priority	advisory
fixed_25_50_75	trial_106	73.693	time_interval		imbalance_detected	0.9	duplicated_scope	True	rebalance	Split by inventory now: Andy should own all granite/andesite/diorite/stone/stone-brick coordinates; Bob should stop overlapping masonry work and own gold, quartz, pillars, and glowstone. Confirm the split before further placement.
fixed_25_50_75	trial_106	147.386	time_interval		no_imbalance_observed	0.82		False	none	
fixed_25_50_75	trial_106	221.079	time_interval		imbalance_detected	0.87	duplicated_scope,role_action_mismatch	True	rebalance	Keep Andy from starting another full-finish action while Bob is active. Have Bob exclusively place the remaining quartz_block/quartz_pillar from his inventory; after Bob ends, Andy should check the blueprint and handle only listed stone or stone_bricks leftovers.
event_leases_v1	trial_106	294.772	trial_end	terminal_review	no_imbalance_observed	0.95		False	none	
fixed_25_50_75	trial_162	126.755	time_interval		no_imbalance_observed	0.84		False	none	
event_leases_v1	trial_162	210.448	action_closed_without_verified_progress	action_closed_without_verified_progress	imbalance_detected	0.78	duplicated_scope	True	rebalance	Before Andy starts another broad build, have him run checkBlueprint and report the remaining list. Split leftovers explicitly: Andy owns stone/stone_bricks/polished variants; Bob owns gold/quartz/quartz_pillar/glowstone. Avoid overlapping all-material actions.
fixed_25_50_75	trial_162	253.511	time_interval		imbalance_detected	0.77	blocked_dependency,role_action_mismatch	True	unblock	Split the remaining work now: Bob, place your held gold, quartz blocks/pillars, and glowstone at the missing coordinates. Andy, gather/craft the depleted stone and polished variants. Then run one shared blueprint check and exchange the exact leftovers.
event_leases_v1	trial_162	263.956	request_verification_still_unresolved	request_verification_still_unresolved	imbalance_detected	0.89	blocked_dependency,failed_handoff	True	unblock	Bob: start a recorded build action now using your gold, quartz, pillars, and glowstone. If you cannot complete it, transfer those materials to Andy and report the blocker. Andy should avoid duplicate placement until Bob confirms which scope he actually started.
event_leases_v1	trial_162	304.221	action_closed_without_verified_progress	action_closed_without_verified_progress	imbalance_detected	0.88	workload_concentration,idle_while_peer_overloaded,failed_handoff,role_action_mismatch	True	rebalance	Assign Bob now to place the required gold, quartz, quartz-pillar, and glowstone blocks from his inventory and report completion. Have Andy handle stone variants and run the blueprint check afterward; confirm Bob actually starts before Andy retries the full scope.
event_leases_v1	trial_162	380.108	score_regression	score_regression	imbalance_detected	0.82	workload_concentration,failed_handoff	True	rebalance	Bob: avoid editing Andy's current coordinate batch. Once Andy finishes, immediately run an independent blueprint check and take ownership of any listed leftovers using your gold, quartz, pillar, and glowstone stock; report the result to Andy.
fixed_25_50_75	trial_162	380.267	time_interval		no_imbalance_observed	0.72		False	none	
event_leases_v1	trial_162	507.022	trial_end	terminal_review	no_imbalance_observed	0.97		False	none	
